,(Intercept),TimeC,TimeE,Fw_dist_km,TimeC:Fw_dist_km,TimeE:Fw_dist_km
297,8.16E-16,-2.45E-15,-2.287265024,7.32E-17,-1.54E-16,0.113813474
1,1.056209322,-1.056209322,-1.056209322,-0.10204493,0.10204493,0.10204493
237,9.48E-16,-2.33E-15,-0.999311271,6.90E-17,-9.04E-17,0.096547765
30,0.483313187,-0.483313187,-0.483313187,-0.071940223,0.071940223,0.071940223
19,0.443130738,-0.443130738,-0.443130738,-0.065959144,0.065959144,0.065959144
18,0.412993901,-0.412993901,-0.412993901,-0.061473335,0.061473335,0.061473335
29,0.412993901,-0.412993901,-0.412993901,-0.061473335,0.061473335,0.061473335
17,0.382857065,-0.382857065,-0.382857065,-0.056987526,0.056987526,0.056987526
31,0.382857065,-0.382857065,-0.382857065,-0.056987526,0.056987526,0.056987526
23,0.36276584,-0.36276584,-0.36276584,-0.053996986,0.053996986,0.053996986
292,7.41E-16,-1.53E-15,-1.058919086,9.14E-18,-2.71E-17,0.052691428
27,0.342674616,-0.342674616,-0.342674616,-0.051006447,0.051006447,0.051006447
56,1.150443657,-1.150443657,-1.150443657,-0.048319939,0.048319939,0.048319939
22,0.322583391,-0.322583391,-0.322583391,-0.048015907,0.048015907,0.048015907
25,0.322583391,-0.322583391,-0.322583391,-0.048015907,0.048015907,0.048015907
32,0.292446555,-0.292446555,-0.292446555,-0.043530098,0.043530098,0.043530098
54,1.004755132,-1.004755132,-1.004755132,-0.042200856,0.042200856,0.042200856
24,0.27235533,-0.27235533,-0.27235533,-0.040539559,0.040539559,0.040539559
57,0.931910869,-0.931910869,-0.931910869,-0.039141314,0.039141314,0.039141314
295,6.56E-16,-1.10E-15,-0.779749555,-1.54E-18,-2.71E-17,0.038800054
65,0.660254016,-0.660254016,-0.660254016,-0.032853999,0.032853999,0.032853999
4,0.26975605,-0.26975605,-0.26975605,-0.026062294,0.026062294,0.026062294
21,0.161853596,-0.161853596,-0.161853596,-0.024091591,0.024091591,0.024091591
26,0.161853596,-0.161853596,-0.161853596,-0.024091591,0.024091591,0.024091591
50,0.531267426,-0.531267426,-0.531267426,-0.022313835,0.022313835,0.022313835
263,2.82E-14,2.35E-14,21.66598154,-4.96E-17,-5.15E-16,0.019649902
71,0.381084484,-0.381084484,-0.381084484,-0.018962625,0.018962625,0.018962625
11,0.188398815,-0.188398815,-0.188398815,-0.018202021,0.018202021,0.018202021
76,0.325250578,-0.325250578,-0.325250578,-0.01618435,0.01618435,0.01618435
62,0.34915677,-0.34915677,-0.34915677,-0.014664981,0.014664981,0.014664981
58,0.312734639,-0.312734639,-0.312734639,-0.01313521,0.01313521,0.01313521
262,3.71E-15,2.35E-14,11.48725611,-7.25E-16,2.63E-16,0.010418335
270,4.29E-15,9.79E-16,6.593881281,1.42E-16,1.02E-16,0.005980302
15,0.052803424,-0.052803424,-0.052803424,-0.005101566,0.005101566,0.005101566
265,4.93E-15,-2.45E-16,4.229382331,-1.39E-16,1.23E-16,0.003835827
255,1.24E-14,-7.34E-15,4.204093573,-1.06E-17,-4.95E-17,0.003812891
256,6.23E-15,0,3.483363946,1.67E-16,-2.67E-16,0.003159227
258,3.48E-15,-4.90E-15,3.40749767,3.65E-16,-1.56E-16,0.003090421
60,0.057779721,-0.057779721,-0.057779721,-0.002426814,0.002426814,0.002426814
268,3.01E-15,-7.34E-16,2.674123664,1.17E-17,9.61E-17,0.002425289
257,9.01E-16,3.18E-15,2.648834905,-1.06E-16,4.34E-17,0.002402353
266,7.53E-16,8.57E-16,0.992421203,-7.21E-17,4.48E-17,0.000900074
